Document Name,Date,Status,Arbitrators,Arbitrator Status,Case Name
Dissenting Opinion of Guido S. Tawil,,Decided in favor of State,,,"Isolux Infrastructure Netherlands B.V. v. Kingdom of Spain, SCC Case No. V2013/153"
Dissenting Opinion of Wolfgang Peter (Incorporated in Final Award),,Decided in favor of State,,,"Itisaluna Iraq LLC, Munir Sukhtian International Investment LLC, VTEL Holdings Ltd., VTEL Middle East and Africa Limited v. Republic of Iraq, ICSID Case No. ARB/17/10"
Dissenting Opinion of Winston Spadafora Franco,,Decided in favor of investor,"Ulises Pitti, Didimo M. Rios, Eduardo Rodríguez, Jr.","Appointed by the investor, Appointed by the State, President",Jean-Marc Parienti v. Autoridad de Transito y Transporte Terrestre
Dissenting Opinion of Arbitrator Dr. Jürgen Voss (Award),,Decided in favor of investor,"Juan Fernández-Armesto, Jürgen Voss, Jan Paulsson","President, Appointed by the State, Appointed by the investor (replaced)","Joseph Charles Lemire v. Ukraine (II), ICSID Case No. ARB/06/18"
Partial Dissenting Opinion of Arbitrator Zachary Douglas,,Decided in favor of investor,,,"Koch Minerals Sàrl and Koch Nitrogen International Sàrl v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/11/19"
Dissenting Opinion of Judge Mohamed Shahabuddeen,,Decided in favor of State,"Peter Tomka, Mohamed Shahabuddeen, Stephen M. Schwebel","Member, Member, President of the Ad Hoc Committee","Malaysian Historical Salvors, SDN, BHD v. Malaysia, ICSID Case No. ARB/05/10"
Dissenting Opinion of Steven A. Hammond,,Decided in favor of State,,,"Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A. v. Republic of Albania, ICSID Case No. ARB/11/24"
Dissenting Opinion on Rectification by Arbitrator Mauro Rubino-Sammartano,,Decided in favor of investor,"Jan Paulsson, Mauro Rubino-Sammartano, V.V. Veeder, Hans van Houtte","Appointed by the investor, Appointed by the State, Appointed by the investor, President","Marco Gavazzi and Stefano Gavazzi v. Romania, ICSID Case No. ARB/12/25"
Dissenting Opinion with Regard to Quantum by Mauro Rubino-Sammartano,,Decided in favor of investor,"Jan Paulsson, Mauro Rubino-Sammartano, V.V. Veeder, Hans van Houtte","Appointed by the investor, Appointed by the State, Appointed by the investor, President","Marco Gavazzi and Stefano Gavazzi v. Romania, ICSID Case No. ARB/12/25"
Dissenting opinion by arbitrator Mauro Rubino-Sammartano,,Decided in favor of investor,"Jan Paulsson, Mauro Rubino-Sammartano, V.V. Veeder, Hans van Houtte","Appointed by the investor, Appointed by the State, Appointed by the investor, President","Marco Gavazzi and Stefano Gavazzi v. Romania, ICSID Case No. ARB/12/25"
Dissenting Opinion of Mr. Jorge Covarrubias Bravo (Award),,Decided in favor of investor,"Jorge Covarrubias Bravo, David A. Gantz, Konstantinos D. Kerameus","Appointed by the State, Appointed by the investor, President","Marvin Roy Feldman Karpa v. United Mexican States, ICSID Case No. ARB(AF)/99/1"
Concurring and Dissenting Opinion of Charles N. Brower,,Decided in favor of State,,,"Mesa Power Group LLC v. Government of Canada, PCA Case No. 2012-17"
Partial Dissent of Ms. Cheek on Jurisdiction,,Decided in favor of State,,,"Michael Ballantine and Lisa Ballantine v. The Dominican Republic, PCA Case No. 2016-17"
Partial Dissent by Prof. Vinuesa on Costs,,Decided in favor of State,,,"Michael Ballantine and Lisa Ballantine v. The Dominican Republic, PCA Case No. 2016-17"
Dissenting Opinion of Antonio Remiro Brotóns,,Decided in favor of investor,"Piero Bernardini, Antonio Remiro Brotóns, Gustaf Möller","Appointed by the investor, Appointed by the State, President","Mobil Exploration and Development Inc. Suc. Argentina and Mobil Argentina S.A. v. Argentine Republic, ICSID Case No. ARB/04/16"
"Partial Dissenting Opinion, Professor Philippe Sands Q.C. (Decision on Liability and Principles of Quantum)",,Decided in favor of investor,"Philippe J. Sands, Merit E. Janow, Hans van Houtte","Appointed by the State, Appointed by the investor, President","Mobil Investments Canada Inc. and Murphy Oil Corporation v. Government of Canada (I), ICSID Case No. ARB(AF)/07/4"
Dissenting opinion of Horacio A. Grigera Naón,,Decided in favor of State,,,"Mr. Cornelis Willem van Noordenne, Mr. Bartus van Noordenne, Stichting Administratiekantoor Anbadi, Estudios Tributarios AP S.A. and Álvarez y Marín Corporación S.A. v. Republic of Panama, ICSID Case No. ARB/15/14"
Dissenting Opinion of Arbitrator Prof. Ivan S. Zykin,,Decided in favor of investor,"Ivan Zykin, Jan Peter Wachler, Staffan Magnusson","Appointed by the State, Appointed by the investor, President",Mr. Franz Sedelmayer v. The Russian Federation
Dissenting Opinion of Arbitrator Gary Born,,Decided in favor of State,,,"Mr. Jürgen Wirtgen, Mr. Stefan Wirtgen, and JSW Solar (zwei) GmbH & Co.KG v. Czech Republic, PCA Case No. 2014-03"
Partial Dissenting Opinion of Mr. Horacio A. Grigera Naon (Award on Jurisdiction),,Decided in favor of State,"Raúl E. Vinuesa, Horacio A. Grigera Naón, Rodrigo Oreamuno","Appointed by the State, Appointed by the investor, President","Murphy Exploration and Production Company International v. Republic of Ecuador (I), ICSID Case No. ARB/08/4"
Dissenting Opinion by Dobrosav Mitrović (Partial Award on Jurisdiction),,Decided in favor of State,,,Mytilineos Holdings SA v. The State Union of Serbia & Montenegro and Republic of Serbia (I)
Dissenting Opinion of Mr. José María Chillón Medina (Award),,Decided in favor of State,,,"Nations Energy, Inc. and others v. Republic of Panama, ICSID Case No. ARB/06/19"
Dissenting Opinion of Professor Brigitte Stern (Award),,Decided in favor of investor,"David A.R. Williams, L. Yves Fortier, Brigitte Stern","Appointed by the investor, President, Appointed by the Chairman of the Administrative Council","Occidental Petroleum Corporation and Occidental Exploration and Production Company v. Republic of Ecuador (II), ICSID Case No. ARB/06/11"
Dissenting Opinion on Liability and Quantum by Arbitrator Philippe Sands,,Decided in favor of investor,"Karl-Heinz Böckstiegel, August Reinisch, Philippe J. Sands","President, Appointed by the investor, Appointed by the State","OperaFund Eco-Invest SICAV PLC and Schwab Holding AG v. Kingdom of Spain, ICSID Case No. ARB/15/36"
Partially Dissenting Opinion of Marc Lalonde,,Decided in favor of investor,"Marc Lalonde, Pierre D. Tercier, Brigitte Stern","Appointed by the investor, President, Appointed by the State","Oxus Gold plc v. Republic of Uzbekistan, the State Committee of Uzbekistan for Geology & Mineral Resources, and Navoi Mining & Metallurgical Kombinat"
Concurring and Dissenting Opinion of Professor W. Michael Reisman,,Decided in favor of investor,"Philippe J. Sands, W. Michael Reisman, Andrés Rigo Sureda","Appointed by the State, Appointed by the investor, President","PACC Offshore Services Holdings Ltd v. United Mexican States, ICSID Case No. UNCT/18/5"
Concurring and Dissenting Opinion of Professor W. Michael Reisman,,Decided in favor of investor,"Philippe J. Sands, W. Michael Reisman, Andrés Rigo Sureda","Appointed by the State, Appointed by the investor, President","PACC Offshore Services Holdings Ltd v. United Mexican States, ICSID Case No. UNCT/18/5"
Dissenting Opinion by Yawovi Agboyibo (Final Award),,Decided in favor of investor,"Yawovi Agboyibo, Marc Lalonde, Andreas Bucher","Appointed by the State, Appointed by the investor, President","Patrick Mitchell v. Democratic Republic of the Congo, ICSID Case No. ARB/99/7"
Concurring and Dissenting Opinion of Gary Born,,Decided in favor of State,"James R. Crawford, Gary B. Born, Piero Bernardini","Appointed by the State, Appointed by the investor, President","Philip Morris Brand SARL, Philip Morris Products S.A. and Abal Hermanos S.A. v. Oriental Republic of Uruguay, ICSID Case No. ARB/10/7"
Dissenting grounds,,Decided in favor of investor,"Toby Landau, Charles N. Brower, Jan Paulsson","Appointed by the State, Appointed by the investor, President","Quasar de Valores SICAV S.A., Orgor de Valores SICAV S.A., GBI 9000 SICAV S.A. and ALOS 34 S.L. v. The Russian Federation, SCC Case No. 24/2007"
